,Year,1,2,3,4,5,6,7,8,9,10,11,12
0, 1950,23.01,24.32,25.11,23.63,22.68,21.33,20.31,20.12,19.56,19.99,19.85,21.72
1, 1951,24.11,25.19,25.74,25.29,24.59,24.61,23.82,22.18,21.29,21.74,22.34,22.83
2, 1952,24.36,26.02,26.08,24.44,23.48,21.93,20.73,19.89,19.37,20.37,20.83,22.31
3, 1953,24.13,26.27,27.22,27.00,25.43,23.43,21.96,21.18,21.06,20.84,21.51,22.22
4, 1954,22.66,24.88,25.17,22.45,21.43,20.66,19.13,19.31,19.02,18.98,20.20,21.34
5, 1955,23.72,24.97,25.12,24.30,22.26,21.20,20.52,19.46,19.26,19.20,19.83,21.12
6, 1956,23.26,24.90,25.73,24.39,23.21,22.19,21.82,20.57,19.72,19.82,20.59,21.49
7, 1957,22.90,26.17,27.27,26.66,26.82,25.14,23.82,22.20,21.64,21.64,22.21,23.47
8, 1958,24.70,26.36,26.96,26.25,24.54,23.10,22.02,20.59,20.32,20.82,21.28,22.31
9, 1959,23.69,25.63,26.83,25.66,24.02,22.50,21.39,19.99,20.11,20.72,21.76,22.58
10, 1960,24.23,25.68,26.24,24.43,23.33,21.71,20.64,19.99,20.46,20.11,21.06,22.52
11, 1961,24.49,26.56,25.76,24.75,23.49,22.15,20.43,19.86,19.59,19.97,20.99,21.93
12, 1962,23.83,25.37,24.36,23.16,22.90,21.77,20.64,20.24,19.99,19.84,20.78,21.72
13, 1963,23.72,25.28,25.73,24.32,23.85,22.25,21.61,21.16,20.78,20.96,21.44,22.52
14, 1964,23.92,24.81,25.08,24.18,21.74,21.24,20.19,19.34,19.50,19.58,20.69,21.48
15, 1965,23.87,25.78,26.48,26.88,25.95,24.35,23.00,22.38,21.10,21.34,22.09,23.16
16, 1966,24.94,25.49,25.02,23.97,22.69,21.57,20.67,19.83,19.83,20.44,20.74,22.19
17, 1967,23.53,25.52,25.44,24.82,23.60,22.07,20.86,19.51,18.92,19.29,19.88,20.97
18, 1968,22.95,24.70,24.91,23.77,22.39,21.51,21.15,20.75,21.05,20.87,21.56,22.97
19, 1969,24.36,25.35,26.83,26.41,25.73,24.09,22.24,20.88,20.75,21.62,22.23,23.40
20, 1970,24.96,25.72,25.23,24.55,22.63,21.12,19.45,19.16,19.29,19.88,20.48,21.66
21, 1971,23.13,24.42,25.03,24.87,23.18,21.58,20.93,19.77,19.51,19.72,20.89,21.82
22, 1972,24.19,26.55,27.07,26.17,25.13,24.90,23.99,23.38,21.96,22.40,23.03,24.82
23, 1973,25.83,26.26,25.91,24.43,23.05,21.51,20.73,19.39,19.42,19.93,20.54,21.67
24, 1974,23.21,24.72,25.65,25.14,24.21,22.35,21.38,20.54,20.09,19.81,20.65,21.35
25, 1975,23.41,24.92,26.16,25.53,23.45,21.70,21.03,20.06,19.16,19.04,19.41,20.93
26, 1976,23.45,25.46,25.96,25.70,25.12,24.50,23.57,22.26,21.55,21.52,22.15,23.20
27, 1977,24.80,25.72,26.02,24.95,23.49,22.52,21.46,20.10,19.61,20.54,21.19,22.26
28, 1978,24.15,25.70,25.28,24.76,23.17,21.94,21.02,19.63,19.84,20.06,21.61,22.90
29, 1979,24.72,25.52,25.91,25.69,24.29,23.28,21.70,20.94,21.15,21.46,21.80,22.73
30, 1980,24.32,25.68,26.48,25.54,23.98,22.76,21.12,20.52,20.43,20.52,21.24,22.41
31, 1981,23.06,24.93,25.94,24.81,23.65,22.49,21.07,19.88,19.93,20.44,21.19,22.63
32, 1982,24.30,25.31,25.20,24.73,24.11,23.25,22.43,21.81,22.03,22.83,24.68,25.97
33, 1983,27.21,28.13,28.72,28.86,28.26,27.36,25.76,23.93,22.10,22.00,22.05,23.03
34, 1984,24.18,25.22,25.62,25.30,23.30,22.18,21.33,20.45,20.66,20.51,21.52,22.41
35, 1985,23.79,24.72,25.60,24.16,22.53,21.85,20.56,19.78,19.74,20.10,20.86,22.43
36, 1986,24.56,26.00,25.76,24.68,23.23,22.05,21.47,20.91,20.91,21.27,22.01,23.41
37, 1987,25.56,27.07,27.93,27.10,25.93,24.10,22.98,21.82,21.83,22.47,22.80,23.48
38, 1988,24.59,25.79,25.68,24.70,23.15,21.46,20.59,19.55,19.44,19.81,20.70,22.06
39, 1989,24.27,26.04,26.34,25.45,23.21,22.04,21.17,20.71,20.07,20.54,21.41,22.41
40, 1990,24.09,25.94,26.04,25.02,24.18,22.83,21.30,20.57,20.24,20.31,21.00,22.31
41, 1991,24.02,25.72,26.28,25.24,24.09,23.33,22.56,21.37,21.19,21.67,22.38,23.64
42, 1992,25.03,26.71,27.73,27.72,26.63,23.98,21.89,20.87,20.76,21.02,21.59,22.71
43, 1993,24.55,26.40,27.09,26.79,25.57,24.16,22.66,21.57,21.11,21.57,21.96,22.83
44, 1994,24.47,25.77,25.48,24.27,23.36,22.21,21.09,19.98,20.58,21.81,22.26,23.67
45, 1995,25.30,26.20,26.00,23.99,23.00,22.20,21.35,20.60,20.44,20.46,21.37,21.96
46, 1996,23.92,25.66,26.16,23.62,22.97,21.24,20.70,20.14,20.08,20.31,20.56,21.68
47, 1997,23.66,25.88,27.03,26.44,26.54,26.12,25.59,24.96,24.69,24.69,26.12,27.06
48, 1998,28.12,28.74,29.23,28.22,27.14,25.36,23.37,21.97,20.95,21.35,21.51,22.63
49, 1999,23.79,25.56,26.45,24.64,23.73,22.36,21.73,20.89,19.67,20.15,20.43,22.17
50, 2000,23.81,25.48,26.02,25.50,24.02,22.75,21.68,20.44,20.50,20.74,20.46,21.85
51, 2001,23.94,25.62,26.66,25.72,23.71,22.28,21.38,20.16,19.60,19.88,20.77,21.79
52, 2002,23.79,26.03,27.25,26.35,25.04,23.51,21.72,20.74,20.93,21.39,22.63,23.91
53, 2003,24.69,25.98,26.42,24.98,22.77,21.77,20.95,21.02,20.28,21.25,21.94,23.03
54, 2004,24.36,26.03,25.75,24.96,22.82,22.05,21.18,20.26,20.46,21.16,22.37,23.18
55, 2005,24.54,25.16,25.03,25.12,24.04,22.35,21.61,20.61,19.99,19.75,20.23,21.89
56, 2006,24.19,26.32,26.20,24.04,23.86,22.91,22.16,21.71,21.70,22.07,22.45,23.52
57, 2007,25.23,26.21,25.84,24.31,22.63,21.52,20.98,19.81,19.75,19.50,19.92,21.15
58, 2008,24.08,26.32,26.88,25.94,24.95,23.68,22.95,22.40,21.75,21.37,21.38,22.36
59, 2009,24.40,25.42,25.67,25.94,24.76,23.78,22.71,21.85,21.23,21.34,21.99,23.41
60, 2010,24.85,26.22,26.56,25.43,24.65,23.14,20.93,19.70,19.50,19.73,20.34,21.91
61, 2011,24.08,25.94,25.61,25.34,24.53,23.42,22.06,20.79,19.99,20.24,21.09,22.13
62, 2012,24.38,26.46,26.65,26.44,25.29,24.14,22.36,21.07,20.79,20.65,21.24,21.96
63, 2013,23.89,25.37,25.81,24.31,22.83,21.22,20.36,19.85,19.95,20.27,21.09,22.37
64, 2014,24.56,25.49,26.17,25.51,25.48,24.67,22.94,21.90,21.52,21.71,22.45,23.22
65, 2015,24.41,25.57,26.57,26.54,25.96,25.32,24.50,22.66,23.01,23.14,23.93,25.02
66, 2016,26.36,27.40,27.83,25.98,24.90,23.77,22.21,21.25,21.29,21.36,21.78,23.24
67, 2017,25.50,27.46,28.10,26.59,24.63,22.89,21.64,20.67,19.92,20.21,20.46,21.39
68, 2018,23.44,25.13,25.13,24.51,23.67,22.40,21.56,20.74,20.65,21.18,22.46,23.86
69,2019,25.40,26.63,26.62,25.83,24.62,22.78,21.27,20.25,20.03,20.27,21.43,-99.99
